Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Bolivia,South America,2009,34.8,44.1,204.4305,3.64,93,83,25.7,92,93,0.18,2455,9.88,1.2,1.1,7.9,0,1,67.5
Cambodia,Asia,2006,49.3,59.7,214.0840,1.18,80,48,21.2,80,80,0.30,760,13.48,11.4,11.6,3.6,0,1,63.9
Malaysia,Asia,2006,7.0,8.1,129.3760,0.45,95,90,24.6,95,95,0.20,7531,26.20,8.8,8.6,8.2,0,1,73.7
Romania,European Union,2006,14.2,16.6,159.0955,9.89,99,96,25.5,97,97,0.04,6846,21.19,3.2,3.7,10.3,1,0,72.2
Dominican Republic,Central America and Caribbean,2008,29.1,35.5,173.0485,5.91,81,83,25.7,86,82,0.59,5410,9.46,3.4,3.3,7.2,0,1,71.6
Norway,Rest of Europe,2015,2.2,2.7,53.8970,5.97,88,91,26.6,95,95,0.04,74356,5.19,0.8,0.7,12.5,1,0,82.3
Italy,European Union,2005,3.8,4.5,64.2915,8.65,96,84,25.6,97,95,0.09,33258,57.97,0.5,0.5,9.2,1,0,80.8
Vietnam,Asia,2015,17.4,21.8,124.5470,2.98,97,65,21.7,97,97,0.12,2582,92.68,14.2,14.5,8,0,1,75.1
Albania,Rest of Europe,2007,15.3,17.1,82.6975,5.46,98,95,25.8,99,98,0.03,3045,2.97,1.6,1.7,9.2,0,1,75.6
Oman,Middle East,2013,9.7,11.3,92.6785,0.44,98,99,26.1,99,98,0.05,19654,3.76,7,6.8,8.9,0,1,76.4
Czechia,European Union,2001,4.3,5.2,121.6575,13.64,92,98,26.5,97,98,0.08,12735,10.22,2.2,2.3,10.9,1,0,75.2
Tonga,Oceania,2002,13.8,16.0,155.0705,1.50,88,98,31.4,90,84,0.17,3952,0.10,0.1,0.1,9.1,0,1,69.8
"Congo, Rep.",Africa,2001,70.7,111.1,420.1800,0.90,71,64,22.1,32,31,2.41,2080,3.22,9.4,9,5.6,0,1,52.5
Slovenia,European Union,2010,2.6,3.2,86.1920,10.33,88,96,26.1,96,96,0.02,20613,2.05,1.6,1.6,12.1,1,0,79.4
Gabon,Africa,2001,52.3,81.4,321.9725,9.27,70,64,23.8,44,45,3.60,7867,1.26,7.8,7.7,6.3,0,1,58
Zambia,Africa,2014,46.0,68.3,309.5495,4.22,86,33,22.4,78,86,4.77,1341,15.40,6.3,6.2,6.9,0,1,60.8
Eswatini,Africa,2015,45.2,57.2,434.8210,7.49,90,83,26.8,84,90,14.30,3680,1.10,4,4.1,6.5,0,1,55.4
Togo,Africa,2000,75.7,119.9,331.9545,1.08,81,64,22.0,63,64,2.97,506,4.92,9.4,9.3,4,0,1,53.5
Dominican Republic,Central America and Caribbean,2014,28.8,35.0,163.0145,5.23,89,83,26.3,90,91,0.40,6547,10.17,3.3,3.2,7.8,0,1,73
"Egypt, Arab Rep.",Africa,2001,35.2,43.9,174.8990,0.13,99,64,27.8,99,99,0.13,2652,70.15,3.5,3.4,4.9,0,1,68.8
Papua New Guinea,Oceania,2014,41.2,52.4,227.2180,1.35,67,65,25.4,43,73,0.40,2565,7.95,1.3,1.3,4.3,0,1,63.2
Ireland,European Union,2000,6.0,7.1,94.6415,13.84,95,86,26.3,86,86,0.04,41623,3.81,0.3,0.3,10.8,1,0,76.5
Bhutan,Asia,2010,34.1,42.4,227.3425,0.23,91,85,23.3,92,91,0.16,2235,0.69,16.6,17.3,2.3,0,1,68.4
Comoros,Africa,2001,72.1,100.2,270.6650,0.10,71,64,22.9,70,70,0.02,1188,0.56,7.8,7.8,3,0,1,59.5
Chile,South America,2014,6.9,8.1,90.4330,7.92,95,88,27.8,95,95,0.19,13367,17.76,0.8,0.8,10.1,0,1,79.5
Syrian Arab Republic,Middle East,2006,16.5,19.3,115.1270,0.75,83,81,27.4,83,80,0.13,1550,19.06,6.4,6.3,6.2,0,1,74.4
Cambodia,Asia,2009,40.2,47.5,198.6200,1.42,92,47,21.5,95,94,0.19,855,14.09,11.1,11.4,3.7,0,1,66
Serbia,Rest of Europe,2004,8.4,9.7,145.0940,9.17,89,96,25.5,96,88,0.01,4162,7.46,2.6,2.6,10,0,1,72.7
Belgium,European Union,2002,4.4,5.4,95.8100,11.29,60,78,25.6,96,95,0.08,36393,10.33,0.8,0.8,10.3,1,0,78.1
Belize,Central America and Caribbean,2004,18.2,21.3,190.6020,6.07,97,89,27.8,97,97,1.48,4830,0.28,3.6,3.5,10.3,0,1,69.7
Costa Rica,Central America and Caribbean,2000,11.1,13.1,98.9985,4.24,89,86,25.8,80,88,0.13,7678,3.96,2.4,2.3,8,0,1,77.5
Romania,European Union,2007,13.0,15.2,155.9065,11.06,99,96,25.6,96,96,0.04,7450,20.88,3.2,3.6,10.5,1,0,72.6
Cuba,Central America and Caribbean,2008,5.4,6.7,96.5420,4.25,95,98,25.1,99,95,0.15,6501,11.24,3.4,3.2,10.6,0,1,78.2
Honduras,Central America and Caribbean,2014,17.1,20.0,147.8750,2.42,97,83,26.5,99,97,0.06,2256,8.96,2.1,2.1,6.2,0,1,74.3
Trinidad and Tobago,Central America and Caribbean,2007,21.7,24.4,184.0930,6.03,89,87,26.7,90,88,0.40,18076,1.31,6.1,6.5,10.5,0,1,71.2
Botswana,Africa,2004,42.1,72.7,528.2495,4.91,91,83,23.9,96,96,13.43,4860,1.77,1.5,1.4,8.1,0,1,51.2
St. Vincent and the Grenadines,Central America and Caribbean,2005,18.9,21.5,173.2950,6.37,99,83,26.0,93,99,0.40,6465,0.11,3.7,3.7,7.9,0,1,71.3
Bolivia,South America,2003,47.8,63.3,227.5185,2.32,80,83,25.1,82,88,0.20,2083,8.91,1.4,1.3,7.1,0,1,64.2
Paraguay,South America,2002,26.8,32.3,166.2950,4.81,89,55,25.1,87,87,0.18,3725,5.53,2.4,2.3,6.5,0,1,71
"Bahamas, The",Central America and Caribbean,2014,12.2,14.3,160.1500,9.22,96,83,27.8,96,96,0.34,31689,0.37,2.5,2.5,11.1,0,1,72.8
Costa Rica,Central America and Caribbean,2004,9.9,11.5,96.3765,4.08,89,85,26.2,90,90,0.15,8395,4.23,2.1,2,7.9,0,1,78
Malta,European Union,2001,6.6,7.5,62.9800,5.99,86,47,26.9,95,95,0.08,16860,0.39,0.7,0.7,8.2,1,0,78.8
Malawi,Africa,2000,100.5,174.6,570.5510,1.36,79,64,21.7,73,75,9.54,294,11.15,8,7.9,3,0,1,45.1
Finland,European Union,2006,3.0,3.6,94.7990,10.15,88,92,25.9,97,97,0.08,44074,5.27,0.9,0.8,12,1,0,79.2
Montenegro,Rest of Europe,2007,7.7,8.9,126.1335,9.68,90,95,25.8,92,92,0.03,5798,0.62,2.1,2.2,10.8,0,1,74.3
"Egypt, Arab Rep.",Africa,2004,30.6,37.5,171.3545,0.14,97,64,28.1,97,97,0.13,2759,74.17,3.3,3.2,5.4,0,1,69.3
United Arab Emirates,Middle East,2010,7.4,8.7,74.2960,1.69,94,94,28.0,94,94,0.13,32535,8.55,5.1,4.9,9.9,0,1,76.3
Iceland,Rest of Europe,2006,2.5,3.1,64.7450,7.20,88,93,25.9,97,97,0.03,50732,0.30,0.9,0.9,10.2,1,0,81.2
Malaysia,Asia,2013,6.8,8.0,124.6680,0.55,96,99,25.4,97,97,0.15,9179,29.47,7.8,7.6,10.1,0,1,75.1
Antigua and Barbuda,Central America and Caribbean,2002,11.9,14.6,152.2670,6.67,99,56,25.3,93,98,0.10,13171,0.08,3.6,3.5,9,0,1,74.4
Central African Republic,Africa,2002,108.5,165.8,551.1775,1.60,45,64,21.7,42,44,3.64,477,3.80,1.2,1.2,3,0,1,44.1
Timor-Leste,Oceania,2013,45.9,54.2,154.7555,0.48,82,64,21.0,82,82,0.09,1287,1.15,11.1,11.2,4.5,0,1,68
Serbia,Rest of Europe,2010,6.6,7.6,127.7695,8.87,89,91,25.8,91,91,0.02,5206,7.29,2.2,2.3,10.4,0,1,74.3
Hungary,European Union,2001,8.2,9.6,185.7405,13.18,88,99,26.0,99,99,0.08,9357,10.19,2.2,2.2,10.3,1,0,72.2
Malaysia,Asia,2005,7.0,8.2,129.6545,0.49,96,91,24.5,96,96,0.21,7275,25.69,9,8.8,7.6,0,1,73.6
Botswana,Africa,2015,39.6,49.7,248.5950,6.14,95,80,24.3,96,95,5.81,6403,2.12,6.4,6.1,9.2,0,1,67.3
Chad,Africa,2005,92.4,166.9,404.2900,0.46,27,64,21.3,37,25,0.96,676,10.10,1.5,1.4,1.5,0,1,48.5
Malawi,Africa,2002,84.6,145.5,591.4675,1.25,64,64,21.9,79,64,8.06,271,11.71,7.7,7.6,3.2,0,1,45.5
Sierra Leone,Africa,2012,100.7,147.3,410.1430,3.19,91,60,22.6,91,91,0.94,627,6.71,7.9,7.8,3.2,0,1,51
Mali,Africa,2005,88.1,156.4,302.4025,0.55,83,64,22.1,78,77,0.76,688,12.78,9.9,9.7,1.7,0,1,52.1
Bangladesh,Asia,2007,44.8,57.8,147.6410,0.00,95,63,20.8,96,94,0.01,856,142.66,19.5,2.1,4.7,0,1,68.6
Latvia,European Union,2015,4.3,5.0,160.2370,10.80,94,92,26.6,94,95,0.29,13786,1.98,2.2,2.1,12.8,1,0,74.5
Angola,Africa,2002,114.5,191.5,350.8275,2.08,67,64,21.9,22,41,1.39,2031,17.52,1.5,1.5,4.4,0,1,47.7
Jamaica,Central America and Caribbean,2003,17.6,20.7,162.4650,3.43,98,95,25.9,99,96,0.83,5083,2.71,1.9,1.8,7.8,0,1,74.1
Zambia,Africa,2005,61.9,106.2,521.0850,2.41,82,39,21.8,84,82,7.69,918,11.86,7.1,7,6.3,0,1,48.5
Kyrgyz Republic,Asia,2002,38.8,45.2,223.7180,5.84,99,65,24.9,99,98,0.04,742,4.99,3.5,3.5,10,0,1,68.2
Zimbabwe,Africa,2000,51.9,95.5,687.9930,1.89,79,64,23.3,78,78,12.86,1697,11.88,11,11.2,6.5,0,1,44.6
China,Asia,2003,23.4,28.8,105.4960,2.89,75,89,22.6,87,86,0.10,2797,1288.40,5.3,4.7,6.7,0,1,72.4
Nepal,Asia,2015,29.2,35.5,154.6040,0.24,91,65,22.4,90,91,0.17,902,27.02,15.7,16.1,4.7,0,1,69.5
Chad,Africa,2004,93.9,170.4,407.2070,0.42,27,64,21.2,31,21,1.04,598,9.73,1.7,1.6,1.4,0,1,48.3
Afghanistan,Asia,2014,55.2,73.6,231.9780,0.01,62,44,23.2,62,62,0.03,565,33.37,17.5,17.5,3.5,0,1,63
Cuba,Central America and Caribbean,2001,6.8,8.5,109.7575,4.05,98,77,24.6,99,98,0.12,4222,11.16,3.6,3.4,9.7,0,1,76.9
Tanzania,Africa,2014,41.9,59.9,255.4665,7.43,97,64,23.1,97,97,2.12,920,49.96,6.8,6.6,5.6,0,1,62.3
Ecuador,South America,2013,14.3,16.6,127.5770,3.78,87,70,26.9,87,87,0.16,6084,15.71,1.3,1.1,8.3,0,1,75.7
Djibouti,Africa,2011,60.9,74.4,265.3280,0.39,87,82,23.9,87,87,0.39,1452,0.85,5.6,5.5,4,0,1,60.7
Slovenia,European Union,2003,3.9,4.7,117.6170,11.55,88,98,25.6,95,95,0.03,17803,2.00,2,2.1,11.5,1,0,76.9
Grenada,Central America and Caribbean,2004,12.5,14.7,168.8770,8.68,83,61,25.8,84,83,0.40,7578,0.10,4,4,7.7,0,1,73.1
"Congo, Dem. Rep.",Africa,2015,73.0,95.9,260.0235,4.47,81,64,21.9,78,81,0.35,497,76.24,9.5,9.3,6.4,0,1,59.3
Cuba,Central America and Caribbean,2002,6.5,8.2,108.1925,4.10,98,71,24.7,98,99,0.13,4269,11.20,3.5,3.3,9.5,0,1,77.1
Maldives,Asia,2013,9.7,11.3,72.3455,1.16,99,99,25.0,99,99,0.17,8955,0.42,13.7,13.8,5.7,0,1,77
Cote d'Ivoire,Africa,2004,87.5,129.5,453.5475,0.85,67,64,23.0,76,67,2.65,1583,17.97,7.3,7.3,3.6,0,1,49.8
